Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,mul,mub,Vr,UU,VV,WW,[Fe/H],l,b,Av,Mbol
0.195,8.7,5.0,7.0,3.595,4.7,5.0,0.61,1.38,1.214,1.693,3.552,15.184,1.416,1.66,2.37,15.7,-8.22,9.94,-0.21,200.0,59.0,0.006,7.298
0.205,11.7,5.0,7.4,3.529,4.95,6.0,0.32,1.565,1.193,2.361,4.5,18.186,3.023,2.74,-47.67,54.58,-11.41,-27.14,-0.22,200.0,59.0,0.006,10.075
0.205,11.4,5.0,7.3,3.535,4.93,7.0,0.35,1.574,1.198,2.288,4.37,17.956,2.128,0.716,23.39,1.36,-21.53,23.63,-0.31,200.0,59.0,0.006,9.807
0.205,9.5,5.0,7.15,3.575,4.76,4.0,0.54,1.416,1.231,1.851,3.793,15.992,-4.403,1.644,0.44,-1.98,44.83,8.61,0.08,200.0,59.0,0.006,8.003
0.205,16.9,5.0,7.8,3.475,5.27,4.0,0.09,1.815,1.735,3.313,5.755,23.496,2.193,-5.084,15.05,-39.81,-37.18,-12.55,-0.14,200.0,59.0,0.006,0.0
0.205,10.6,5.0,7.11,3.573,4.99,8.0,0.3,1.475,1.093,2.19,3.53,17.151,-1.367,-7.716,50.15,-89.25,-18.34,4.35,-1.14,200.0,59.0,0.006,9.335
0.215,14.5,5.0,7.71,3.479,5.05,4.0,0.14,1.747,1.509,3.187,5.821,21.222,0.718,-0.236,22.26,-10.21,-11.51,17.85,0.07,200.0,59.0,0.006,12.685
0.215,14.2,5.0,7.65,3.484,5.04,6.0,0.15,1.783,1.487,3.118,5.485,20.951,5.994,-2.281,17.99,-6.54,-67.42,3.44,-0.22,200.0,59.0,0.006,12.416
0.215,14.1,5.0,7.65,3.486,5.06,2.0,0.16,1.681,1.478,3.053,5.71,20.708,1.74,-3.042,29.86,-33.37,-31.02,9.62,0.18,200.0,59.0,0.006,12.316
0.215,13.2,5.0,7.5,3.502,5.06,6.0,0.2,1.546,1.358,2.82,5.306,19.902,-1.499,1.806,-49.27,33.45,28.44,-32.74,0.17,200.0,59.0,0.006,11.512
0.215,12.8,5.0,7.5,3.509,5.03,5.0,0.22,1.499,1.311,2.724,5.14,19.476,-2.972,-4.373,35.18,-63.31,9.21,7.19,0.15,200.0,59.0,0.006,11.144
0.215,12.5,5.0,7.5,3.515,4.99,2.0,0.24,1.469,1.278,2.653,5.036,19.105,0.44,-1.247,-5.68,-5.96,-6.95,-11.42,0.16,200.0,59.0,0.006,10.844
0.215,11.1,5.0,7.3,3.54,4.89,6.0,0.38,1.559,1.177,2.231,4.273,17.757,1.867,-0.56,0.78,1.54,-19.7,-2.27,-0.3,200.0,59.0,0.006,9.507
