Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,mul,mub,Vr,UU,VV,WW,[Fe/H],l,b,Av,Mbol
1.635,10.8,5.0,7.14,3.569,5.01,8.0,0.28,1.489,1.166,2.252,3.68,21.808,-0.782,-0.577,74.08,-92.59,30.83,40.49,-0.68,200.0,59.0,0.006,9.49
1.635,9.6,5.0,6.98,3.592,4.91,8.0,0.42,1.372,1.087,1.877,3.367,20.698,-0.586,-0.848,34.84,-85.31,17.28,-3.97,-0.78,200.0,59.0,0.006,8.559
1.635,13.5,6.0,9.0,3.85,8.0,8.0,0.59,0.396,-0.485,0.502,0.935,24.515,0.889,-1.539,29.4,-86.75,-104.92,-36.24,-0.64,200.0,59.0,0.006,0.0
1.645,13.9,5.0,7.65,3.49,5.04,6.0,0.16,1.749,1.448,3.025,5.355,25.032,0.061,-0.187,8.83,-14.4,-10.28,0.06,-0.21,200.0,59.0,0.006,12.148
1.645,12.7,5.0,7.5,3.511,5.01,6.0,0.23,1.633,1.3,2.65,4.851,23.852,-0.288,-0.369,13.2,-37.22,10.32,-3.49,-0.22,200.0,59.0,0.006,11.044
1.645,9.6,5.0,7.15,3.572,4.78,7.0,0.54,1.471,1.173,1.867,3.635,20.674,0.279,-0.105,-29.18,14.98,-17.69,-29.22,-0.64,200.0,59.0,0.006,8.103
1.645,13.6,5.0,7.55,3.508,5.25,8.0,0.12,1.912,1.401,3.127,4.665,24.746,0.736,1.417,-74.47,144.64,-8.41,-6.94,-0.85,200.0,59.0,0.006,11.541
1.645,11.4,5.0,7.21,3.558,5.06,8.0,0.23,1.54,1.177,2.44,3.851,22.49,0.265,-0.068,55.52,-24.05,-30.73,44.88,-0.68,200.0,59.0,0.006,9.94
1.645,9.8,5.0,7.01,3.588,4.93,8.0,0.4,1.395,1.118,1.94,3.438,20.966,-0.023,-0.463,-12.18,-23.77,-6.77,-29.03,-0.67,200.0,59.0,0.006,8.713
1.645,9.4,5.0,6.95,3.596,4.89,8.0,0.44,1.337,1.004,1.815,3.259,20.584,1.568,0.46,-42.59,91.33,-96.87,-18.03,-1.1,200.0,59.0,0.006,8.405
1.645,8.6,5.0,6.8,3.617,4.8,8.0,0.52,1.235,0.928,1.522,2.989,19.724,-0.284,-1.691,57.03,-141.35,-27.92,-19.01,-0.99,200.0,59.0,0.006,7.803
1.645,6.0,5.0,5.58,3.737,4.63,8.0,0.73,0.622,-0.101,0.791,1.797,17.116,0.234,-0.095,44.56,-21.29,-27.13,34.39,-1.49,200.0,59.0,0.006,5.812
1.655,14.8,5.0,7.71,3.473,5.12,6.0,0.13,1.835,1.591,3.307,5.816,25.901,-0.118,-1.09,-14.21,-65.16,-13.85,-56.21,-0.07,200.0,59.0,0.006,12.985
1.655,12.6,5.0,7.5,3.513,5.0,7.0,0.23,1.672,1.345,2.582,4.754,23.61,-0.149,-0.679,21.38,-57.24,-8.4,-9.11,-0.41,200.0,59.0,0.006,10.944
1.655,8.0,5.0,6.64,3.638,4.75,8.0,0.57,1.129,0.778,1.282,2.745,19.063,0.143,-0.548,42.12,-51.17,-30.57,13.96,-1.17,200.0,59.0,0.006,7.368
1.655,7.2,5.0,6.37,3.674,4.71,8.0,0.63,0.99,0.732,1.008,2.428,18.286,0.59,0.145,-5.73,27.81,-39.17,0.96,-0.6,200.0,59.0,0.006,6.779
1.665,13.6,5.0,7.6,3.495,5.07,7.0,0.18,1.728,1.426,2.932,5.214,24.747,-0.194,-1.788,33.25,-135.03,-32.81,-44.19,-0.24,200.0,59.0,0.006,11.88
1.665,9.8,5.0,7.15,3.568,4.81,7.0,0.52,1.489,1.183,1.943,3.727,21.009,0.355,-0.151,0.66,-0.31,-29.92,-5.55,-0.56,200.0,59.0,0.006,8.303
1.665,11.4,5.0,7.21,3.558,5.06,8.0,0.23,1.537,1.181,2.44,3.863,22.57,0.173,0.014,-18.65,14.6,-9.23,-15.41,-0.63,200.0,59.0,0.006,9.94
1.665,7.0,5.0,6.29,3.684,4.7,8.0,0.65,0.939,0.636,0.956,2.308,18.184,0.559,1.379,-34.37,119.39,-3.49,26.6,-0.58,200.0,59.0,0.006,6.625
1.665,14.6,6.0,9.0,3.745,8.0,8.0,0.58,0.61,-0.213,0.822,1.635,25.627,2.085,-0.963,-13.39,1.52,-174.54,-50.63,-0.89,200.0,59.0,0.006,0.0
1.675,13.6,5.0,7.65,3.495,5.03,6.0,0.18,1.709,1.4,2.932,5.232,24.809,0.116,0.43,-20.16,40.42,4.93,0.31,-0.18,200.0,59.0,0.006,11.848
1.675,11.7,5.0,7.4,3.529,4.95,5.0,0.32,1.65,1.265,2.295,4.378,22.902,-0.094,-0.126,33.17,-26.68,-1.77,23.27,-0.54,200.0,59.0,0.006,10.075
1.675,10.3,5.0,7.2,3.557,4.84,5.0,0.47,1.421,1.146,2.04,4.031,21.384,0.032,0.082,-20.09,15.83,3.03,-13.88,0.16,200.0,59.0,0.006,8.771
1.675,9.0,5.0,7.0,3.587,4.74,7.0,0.58,1.403,1.157,1.763,3.473,20.154,0.111,-0.186,2.11,-9.92,-13.02,-5.82,-0.54,200.0,59.0,0.006,7.566
1.675,6.4,5.0,5.93,3.716,4.66,8.0,0.7,0.771,0.256,0.849,1.99,17.557,2.055,0.743,-84.09,144.02,-121.23,-41.7,-0.7,200.0,59.0,0.006,6.148
1.675,4.8,5.0,4.87,3.783,4.43,8.0,0.84,0.499,-0.115,0.616,1.395,16.012,-0.231,0.663,36.64,18.4,26.24,58.52,-0.64,200.0,59.0,0.006,4.698
1.675,4.4,5.0,4.75,3.791,4.32,8.0,0.87,0.46,-0.15,0.587,1.325,15.616,0.159,-0.989,48.74,-82.55,-43.49,1.31,-0.87,200.0,59.0,0.006,4.305
1.685,13.0,5.0,7.5,3.506,5.03,6.0,0.21,1.629,1.303,2.76,4.992,24.206,-0.043,0.004,43.06,-21.76,-4.25,37.07,-0.1,200.0,59.0,0.006,11.312
1.685,12.0,5.0,7.3,3.546,5.11,8.0,0.19,1.626,1.171,2.627,3.953,23.208,0.471,-1.666,84.57,-135.24,-89.26,3.96,-0.95,200.0,59.0,0.006,10.353
1.685,10.8,5.0,7.14,3.569,5.01,8.0,0.28,1.5,1.134,2.252,3.617,21.851,-0.167,-1.062,16.03,-80.64,-15.16,-29.94,-0.97,200.0,59.0,0.006,9.49
1.685,10.4,5.0,7.09,3.576,4.98,8.0,0.32,1.451,1.181,2.127,3.645,21.508,0.076,0.228,-89.15,59.85,15.34,-67.06,-0.45,200.0,59.0,0.006,9.179
1.685,7.8,5.0,6.58,3.647,4.74,8.0,0.59,1.086,0.702,1.186,2.669,18.89,-0.129,-0.35,60.74,-55.43,-9.19,37.67,-1.29,200.0,59.0,0.006,7.224
1.685,4.6,5.0,4.8,3.787,4.38,8.0,0.86,0.489,-0.112,0.602,1.355,15.655,1.006,-0.751,87.02,-62.96,-108.45,43.69,-0.61,200.0,59.0,0.006,4.502
1.695,14.2,5.0,7.65,3.484,5.04,4.0,0.15,1.788,1.493,3.119,5.478,25.276,0.061,-0.608,4.69,-39.91,-19.76,-21.13,-0.24,200.0,59.0,0.006,12.416
1.695,13.4,5.0,7.6,3.499,5.02,6.0,0.19,1.69,1.376,2.869,5.139,24.468,-0.048,0.405,-19.63,34.42,16.59,-0.05,-0.19,200.0,59.0,0.006,11.68
1.695,11.4,5.0,7.3,3.535,4.92,6.0,0.34,1.587,1.21,2.284,4.345,22.453,0.363,0.215,-52.86,49.46,-13.06,-36.42,-0.37,200.0,59.0,0.006,9.807
1.695,11.4,5.0,7.21,3.558,5.06,8.0,0.23,1.56,1.154,2.44,3.785,22.631,0.043,-0.687,24.81,-55.32,-23.78,-7.18,-0.94,200.0,59.0,0.006,9.94
1.695,9.6,5.0,6.98,3.592,4.91,8.0,0.42,1.386,1.166,1.877,3.517,20.765,0.393,-0.079,14.33,-1.28,-34.05,9.0,-0.35,200.0,59.0,0.006,8.559
1.695,9.0,5.0,6.88,3.606,4.85,8.0,0.49,1.34,1.181,1.682,3.406,20.212,1.755,-0.019,-12.94,53.26,-130.71,-11.89,-0.21,200.0,59.0,0.006,8.101
1.695,8.0,5.0,6.64,3.638,4.75,8.0,0.57,1.162,0.924,1.282,2.797,19.222,0.756,-1.095,38.99,-68.97,-89.73,-11.9,-0.69,200.0,59.0,0.006,7.368
1.695,4.6,5.0,4.8,3.787,4.38,8.0,0.86,0.482,-0.129,0.602,1.359,15.694,1.288,-1.354,85.53,-93.64,-144.19,17.28,-0.72,200.0,59.0,0.006,4.502
1.695,12.4,5.0,7.23,3.555,5.28,9.0,0.12,1.585,1.102,2.558,3.756,23.607,2.596,-2.205,-33.7,-55.03,-241.97,-120.11,-1.22,200.0,59.0,0.006,11.122
1.705,14.6,5.0,7.71,3.477,5.08,7.0,0.14,1.968,1.619,3.216,5.495,25.822,0.085,0.121,15.35,2.78,-6.34,18.17,-0.63,200.0,59.0,0.006,12.785
1.705,9.4,5.0,7.1,3.577,4.76,5.0,0.55,1.44,1.212,1.839,3.79,20.546,-0.162,0.016,-22.67,7.52,16.69,-18.77,-0.2,200.0,59.0,0.006,7.934
1.705,13.0,5.0,7.45,3.522,5.21,8.0,0.13,1.995,1.262,2.94,4.192,24.078,-0.22,-0.617,13.15,-52.64,-0.2,-14.42,-1.27,200.0,59.0,0.006,11.17
1.705,9.4,5.0,6.95,3.596,4.89,8.0,0.44,1.36,1.12,1.815,3.367,20.636,1.047,-1.171,15.19,-54.65,-109.97,-35.74,-0.55,200.0,59.0,0.006,8.405
1.705,7.6,5.0,6.51,3.655,4.73,8.0,0.6,1.089,0.854,1.156,2.659,18.854,0.903,1.251,-60.9,135.84,-28.2,-0.14,-0.66,200.0,59.0,0.006,7.078
1.715,12.7,5.0,7.5,3.511,5.01,5.0,0.23,1.519,1.281,2.702,5.034,23.875,0.416,-0.432,5.22,-19.21,-43.01,-13.59,0.07,200.0,59.0,0.006,11.044
1.715,8.2,5.0,6.9,3.61,4.65,7.0,0.64,1.301,1.108,1.558,3.182,19.325,-0.204,-0.298,-16.62,-17.16,11.36,-26.74,-0.51,200.0,59.0,0.006,6.83
1.715,11.8,5.0,7.27,3.55,5.09,8.0,0.2,1.575,1.186,2.565,3.978,22.956,1.238,-1.458,-16.82,-52.9,-126.4,-75.47,-0.66,200.0,59.0,0.006,10.22
1.715,8.2,5.0,6.7,3.631,4.77,8.0,0.56,1.167,0.857,1.362,2.812,19.436,0.576,-1.686,131.92,-158.25,-107.42,42.48,-0.99,200.0,59.0,0.006,7.513
1.715,6.0,5.0,5.58,3.737,4.63,8.0,0.73,0.656,0.017,0.791,1.795,17.166,0.633,0.605,-110.17,110.54,-14.53,-69.1,-0.94,200.0,59.0,0.006,5.812
1.715,14.8,6.0,9.0,3.726,8.0,8.0,0.58,0.742,-0.199,0.892,1.775,25.912,0.225,-0.751,-20.31,-33.1,-31.55,-48.86,-1.12,200.0,59.0,0.006,0.0
1.725,14.6,5.0,7.71,3.477,5.08,6.0,0.14,1.857,1.569,3.26,5.627,25.77,-0.036,0.038,-17.6,10.04,6.76,-13.47,-0.33,200.0,59.0,0.006,12.785
1.725,13.1,5.0,7.5,3.504,5.02,6.0,0.2,1.6,1.291,2.803,5.094,24.387,-0.126,-0.557,21.44,-50.57,-7.47,-5.07,0.02,200.0,59.0,0.006,11.412
1.725,12.2,5.0,7.4,3.52,4.99,5.0,0.27,1.558,1.197,2.534,4.721,23.331,-0.314,-0.827,20.57,-73.22,0.7,-17.2,-0.07,200.0,59.0,0.006,10.575
1.725,11.7,5.0,7.4,3.529,4.95,7.0,0.32,1.603,1.23,2.331,4.444,22.804,-0.241,-0.543,-1.94,-41.53,5.85,-24.51,-0.36,200.0,59.0,0.006,10.075
1.725,10.3,5.0,7.2,3.557,4.82,6.0,0.47,1.487,1.166,2.033,4.136,21.466,-0.363,-0.079,-13.62,-8.75,28.37,-15.0,-0.1,200.0,59.0,0.006,8.739
1.725,9.8,5.0,7.01,3.588,4.93,8.0,0.4,1.391,1.081,1.94,3.393,20.923,0.119,-0.511,-22.62,-19.39,-17.44,-40.92,-0.88,200.0,59.0,0.006,8.713
1.725,8.4,5.0,6.75,3.623,4.78,8.0,0.54,1.238,1.025,1.442,2.969,19.559,1.15,-0.117,83.12,-15.76,-105.78,66.33,-0.56,200.0,59.0,0.006,7.657
1.735,12.7,5.0,7.5,3.511,5.01,7.0,0.23,1.667,1.342,2.624,4.807,23.878,0.283,-0.118,13.27,-6.28,-27.09,6.36,-0.36,200.0,59.0,0.006,11.044
1.735,12.0,5.0,7.4,3.524,4.95,7.0,0.28,1.804,1.308,2.287,4.369,23.286,-0.437,-0.721,9.43,-64.63,14.72,-22.47,-0.83,200.0,59.0,0.006,10.375
1.735,13.2,5.0,7.48,3.518,5.22,8.0,0.13,1.763,1.306,3.002,4.547,24.465,-0.331,0.917,-67.45,84.09,59.61,-18.96,-0.67,200.0,59.0,0.006,11.294
1.735,11.8,5.0,7.27,3.55,5.09,8.0,0.2,1.557,1.196,2.565,4.029,23.096,1.029,0.388,-13.21,61.04,-67.86,5.11,-0.49,200.0,59.0,0.006,10.22
1.735,10.4,5.0,7.09,3.576,4.98,8.0,0.32,1.457,1.143,2.127,3.559,21.509,1.014,-0.578,-67.41,22.86,-80.45,-82.27,-0.76,200.0,59.0,0.006,9.179
1.735,9.2,5.0,6.91,3.601,4.87,8.0,0.47,1.33,1.083,1.752,3.282,20.475,0.08,0.675,6.35,43.88,8.93,34.02,-0.66,200.0,59.0,0.006,8.252
1.735,5.4,5.0,5.15,3.763,4.55,8.0,0.79,0.563,-0.092,0.69,1.548,16.686,0.162,-0.97,13.47,-66.21,-38.25,-29.53,-0.74,200.0,59.0,0.006,5.272
1.735,4.2,5.0,4.73,3.793,4.26,8.0,0.88,0.452,-0.151,0.578,1.305,15.464,0.574,-1.828,-5.38,-102.33,-87.45,-82.03,-0.9,200.0,59.0,0.006,4.108
1.745,13.0,5.0,7.5,3.506,5.03,5.0,0.21,1.565,1.303,2.778,5.109,24.155,-0.042,0.001,23.12,-12.28,-0.8,19.87,0.05,200.0,59.0,0.006,11.312
1.745,12.8,5.0,7.5,3.509,5.03,5.0,0.22,1.619,1.286,2.7,4.918,24.011,-0.736,-0.93,24.77,-94.78,30.26,-18.39,-0.12,200.0,59.0,0.006,11.144
1.745,12.5,5.0,7.5,3.515,5.01,7.0,0.25,1.667,1.333,2.547,4.716,23.742,0.014,-0.507,12.73,-39.5,-15.65,-10.67,-0.41,200.0,59.0,0.006,10.844
1.745,5.1,5.0,5.5,3.745,4.47,5.0,0.97,0.681,0.163,0.761,1.703,16.344,-0.039,0.155,-15.32,16.64,9.48,-6.53,-0.2,200.0,59.0,0.006,4.415
1.745,5.8,5.0,5.42,3.746,4.61,8.0,0.75,0.611,-0.06,0.76,1.709,17.069,-0.295,-1.02,50.92,-100.93,-10.74,0.21,-1.0,200.0,59.0,0.006,5.637
1.755,13.2,5.0,7.6,3.502,4.99,5.0,0.2,1.64,1.311,2.817,5.079,24.387,0.595,-0.57,19.27,-30.58,-63.84,-7.9,-0.1,200.0,59.0,0.006,11.48
1.755,12.9,5.0,7.5,3.508,5.0,7.0,0.22,1.636,1.307,2.717,4.934,24.097,0.269,-0.213,24.29,-18.36,-30.53,11.69,-0.18,200.0,59.0,0.006,11.212
1.755,12.0,5.0,7.4,3.524,4.97,5.0,0.29,1.702,1.297,2.331,4.457,23.256,0.183,-0.176,-7.66,-2.87,-17.28,-14.11,-0.6,200.0,59.0,0.006,10.375
1.755,11.3,5.0,7.3,3.537,4.93,7.0,0.37,1.638,1.229,2.228,4.216,22.627,0.447,-0.652,-0.53,-30.73,-50.74,-28.39,-0.62,200.0,59.0,0.006,9.707
1.755,10.7,5.0,7.3,3.548,4.86,7.0,0.42,1.558,1.188,2.174,4.068,22.0,-0.089,-0.531,26.51,-50.93,-10.69,-0.03,-0.46,200.0,59.0,0.006,9.139
1.755,12.4,5.0,7.37,3.536,5.16,8.0,0.16,1.78,1.171,2.752,4.01,23.576,1.276,0.621,73.44,42.37,-97.52,89.56,-1.23,200.0,59.0,0.006,10.758
1.755,9.4,5.0,6.95,3.596,4.89,8.0,0.44,1.346,1.053,1.815,3.297,20.718,0.355,0.906,41.91,50.54,-13.04,74.75,-0.88,200.0,59.0,0.006,8.405
1.755,8.4,5.0,6.75,3.623,4.78,8.0,0.54,1.254,1.084,1.442,3.046,19.588,1.562,-0.657,70.97,-33.93,-150.6,32.69,-0.38,200.0,59.0,0.006,7.657
1.755,5.6,5.0,5.28,3.755,4.58,8.0,0.77,0.604,-0.024,0.722,1.614,16.729,0.86,-0.759,44.68,-48.02,-93.57,5.78,-0.62,200.0,59.0,0.006,5.457
1.765,13.6,5.0,7.6,3.495,5.04,7.0,0.18,1.819,1.499,2.888,5.101,24.801,-0.099,-0.088,-5.56,-6.1,6.63,-8.57,-0.56,200.0,59.0,0.006,11.88
1.765,12.7,5.0,7.5,3.511,5.01,7.0,0.23,1.763,1.398,2.558,4.708,23.942,0.373,0.747,-4.51,63.19,-10.24,28.31,-0.62,200.0,59.0,0.006,11.044
1.765,10.4,5.0,7.3,3.555,4.84,6.0,0.46,1.505,1.169,2.069,4.111,21.613,0.066,-0.251,-7.94,-11.16,-9.98,-17.62,-0.2,200.0,59.0,0.006,8.839
1.765,9.9,5.0,7.2,3.565,4.79,6.0,0.51,1.478,1.191,1.961,3.92,21.111,-0.276,-0.483,3.72,-42.25,9.17,-17.63,-0.26,200.0,59.0,0.006,8.371
1.765,9.4,5.0,6.95,3.596,4.89,8.0,0.44,1.346,1.051,1.815,3.295,20.642,-0.001,-0.876,30.14,-73.63,-26.75,-11.9,-0.89,200.0,59.0,0.006,8.405
1.765,12.4,6.0,9.0,3.975,8.0,8.0,0.6,0.227,-0.596,0.192,0.185,23.677,0.502,-0.144,54.1,-21.52,-52.49,40.18,-0.51,200.0,59.0,0.006,0.0
1.775,14.5,5.0,7.71,3.479,5.05,7.0,0.14,2.061,1.645,3.094,5.34,25.816,-0.079,-0.38,-30.33,-13.36,2.21,-42.48,-0.81,200.0,59.0,0.006,12.685
1.775,13.8,5.0,7.65,3.492,5.05,6.0,0.17,1.751,1.45,2.993,5.297,25.129,0.382,-0.065,-26.98,19.65,-27.05,-25.94,-0.25,200.0,59.0,0.006,12.048
1.775,13.2,5.0,7.5,3.502,5.06,5.0,0.2,1.683,1.373,2.804,5.038,24.523,0.409,0.472,-28.96,57.79,-15.56,-4.35,-0.23,200.0,59.0,0.006,11.512
1.775,13.1,6.0,9.0,3.894,8.0,7.0,0.6,0.311,-0.574,0.392,0.675,24.436,0.316,-0.678,39.88,-56.17,-48.72,4.79,-0.28,200.0,59.0,0.006,0.0
1.775,14.2,5.0,7.64,3.494,5.28,8.0,0.11,2.157,1.522,3.315,4.792,25.386,0.168,0.788,40.54,38.59,-1.03,68.88,-1.12,200.0,59.0,0.006,11.868
1.775,12.8,5.0,7.42,3.527,5.19,8.0,0.14,1.626,1.234,2.877,4.474,24.031,0.619,0.43,-111.45,100.9,-18.74,-76.91,-0.38,200.0,59.0,0.006,11.042
1.775,9.8,5.0,7.01,3.588,4.93,8.0,0.4,1.39,1.075,1.94,3.385,21.012,-0.482,-1.785,-45.98,-112.57,2.22,-116.75,-0.92,200.0,59.0,0.006,8.713
1.775,9.0,5.0,6.88,3.606,4.85,8.0,0.49,1.301,1.037,1.682,3.187,20.346,0.873,-0.017,1.92,23.03,-69.74,0.92,-0.78,200.0,59.0,0.006,8.101
1.775,8.0,5.0,6.64,3.638,4.75,8.0,0.57,1.135,0.811,1.282,2.757,19.232,-0.421,0.17,-17.07,7.71,40.47,-7.25,-1.05,200.0,59.0,0.006,7.368
1.775,7.8,5.0,6.58,3.647,4.74,8.0,0.59,1.109,0.827,1.204,2.709,19.098,0.477,-0.028,87.96,-30.73,-53.87,74.2,-0.87,200.0,59.0,0.006,7.224
1.775,6.2,5.0,5.75,3.726,4.65,8.0,0.71,0.693,0.038,0.818,1.9,17.401,-0.319,-0.142,50.32,-43.18,12.88,36.97,-1.19,200.0,59.0,0.006,5.982
1.775,5.2,5.0,5.04,3.771,4.52,8.0,0.81,0.53,-0.124,0.66,1.496,16.531,0.295,-0.702,96.56,-85.82,-57.67,52.34,-0.79,200.0,59.0,0.006,5.084
1.785,10.4,5.0,7.09,3.576,4.98,8.0,0.32,1.453,1.178,2.127,3.62,21.569,0.587,-0.899,41.92,-64.59,-76.39,-3.26,-0.49,200.0,59.0,0.006,9.179
1.785,9.6,5.0,6.98,3.592,4.91,8.0,0.42,1.367,1.061,1.877,3.339,20.791,-0.498,-1.385,52.29,-134.1,-4.01,-15.54,-0.91,200.0,59.0,0.006,8.559
1.785,8.8,5.0,6.84,3.611,4.82,8.0,0.5,1.269,0.979,1.602,3.087,20.098,0.647,0.086,-0.79,24.95,-49.15,3.07,-0.92,200.0,59.0,0.006,7.951
1.785,7.6,5.0,6.51,3.655,4.73,8.0,0.6,1.139,1.023,1.18,2.694,18.905,0.688,-0.562,28.04,-31.95,-73.53,-0.43,-0.2,200.0,59.0,0.006,7.078
1.795,12.2,5.0,7.4,3.52,4.99,7.0,0.27,1.572,1.212,2.52,4.703,23.404,0.014,-0.483,-13.17,-26.35,-10.84,-32.48,-0.12,200.0,59.0,0.006,10.575
1.795,11.8,5.0,7.27,3.55,5.09,8.0,0.2,1.585,1.179,2.565,3.949,23.084,1.218,-0.565,34.96,-20.23,-117.6,5.2,-0.76,200.0,59.0,0.006,10.22
1.795,10.2,5.0,7.06,3.58,4.96,8.0,0.35,1.435,1.169,2.065,3.578,21.574,-0.111,-1.427,-16.6,-92.99,-23.82,-76.76,-0.48,200.0,59.0,0.006,9.022
1.795,10.0,5.0,7.04,3.583,4.95,8.0,0.37,1.415,1.055,2.002,3.413,21.243,0.451,-0.557,-6.53,-21.89,-48.85,-30.01,-1.13,200.0,59.0,0.006,8.867
1.795,9.0,5.0,6.88,3.606,4.85,8.0,0.49,1.291,0.999,1.682,3.155,20.268,1.263,0.457,-30.29,82.74,-84.25,-5.94,-0.93,200.0,59.0,0.006,8.101
1.795,5.6,5.0,5.28,3.755,4.58,8.0,0.77,0.624,0.039,0.722,1.61,16.941,0.763,-1.146,93.88,-101.75,-106.09,30.27,-0.39,200.0,59.0,0.006,5.457
1.805,11.8,5.0,7.27,3.55,5.09,8.0,0.2,1.612,1.14,2.565,3.856,23.143,0.568,-1.309,2.28,-74.7,-78.89,-55.73,-1.09,200.0,59.0,0.006,10.22
1.805,10.2,5.0,7.06,3.58,4.96,8.0,0.35,1.436,1.111,2.065,3.486,21.499,0.138,-0.932,26.6,-73.03,-39.18,-18.26,-0.9,200.0,59.0,0.006,9.022
1.805,9.6,5.0,6.98,3.592,4.91,8.0,0.42,1.354,0.971,1.877,3.283,20.885,1.212,0.62,8.24,74.18,-83.37,34.36,-1.32,200.0,59.0,0.006,8.559
1.805,8.8,5.0,6.84,3.611,4.82,8.0,0.5,1.253,0.907,1.602,3.051,20.109,0.308,0.064,-8.42,17.52,-21.65,-4.38,-1.2,200.0,59.0,0.006,7.951
1.805,4.6,5.0,4.8,3.787,4.38,8.0,0.86,0.473,-0.151,0.602,1.365,15.949,0.206,-0.244,-11.78,-5.1,-20.59,-20.86,-0.86,200.0,59.0,0.006,4.502
1.815,11.4,5.0,7.21,3.558,5.06,8.0,0.23,1.567,1.097,2.44,3.716,22.747,1.114,-1.441,61.83,-97.01,-137.28,-10.86,-1.22,200.0,59.0,0.006,9.94
1.815,10.0,5.0,7.04,3.583,4.95,8.0,0.37,1.415,1.057,2.002,3.414,21.391,0.342,-1.434,83.49,-129.74,-78.5,8.01,-1.12,200.0,59.0,0.006,8.867
1.815,8.6,5.0,6.8,3.617,4.8,8.0,0.52,1.258,1.022,1.522,3.046,19.969,0.583,-0.661,-14.16,-21.82,-61.28,-41.43,-0.66,200.0,59.0,0.006,7.803
1.815,8.0,5.0,6.64,3.638,4.75,8.0,0.57,1.15,0.875,1.282,2.78,19.353,0.785,-0.276,43.77,-17.2,-78.14,25.3,-0.84,200.0,59.0,0.006,7.368
1.825,11.1,5.0,7.3,3.54,4.88,5.0,0.37,1.503,1.123,2.206,4.41,22.451,-0.427,-0.447,19.31,-53.13,20.0,-3.36,0.0,200.0,59.0,0.006,9.507
1.825,12.0,5.0,7.3,3.546,5.11,8.0,0.19,1.614,1.178,2.627,3.982,23.265,0.273,-0.228,42.53,-28.39,-35.45,26.31,-0.85,200.0,59.0,0.006,10.353
1.825,10.6,5.0,7.11,3.573,4.99,8.0,0.3,1.475,1.139,2.19,3.577,21.877,0.366,0.119,79.78,-19.47,-40.82,73.7,-0.87,200.0,59.0,0.006,9.335
1.825,8.6,5.0,6.8,3.617,4.8,8.0,0.52,1.236,0.931,1.522,2.991,19.943,0.341,-0.764,7.24,-46.65,-48.33,-27.83,-0.98,200.0,59.0,0.006,7.803
1.825,8.2,5.0,6.7,3.631,4.77,8.0,0.56,1.206,1.013,1.362,2.873,19.557,1.481,-0.724,58.74,-35.07,-149.11,18.08,-0.5,200.0,59.0,0.006,7.513
1.825,6.2,5.0,5.75,3.726,4.65,8.0,0.71,0.711,0.108,0.82,1.9,17.515,1.22,-0.256,-3.32,19.89,-105.11,-14.25,-0.9,200.0,59.0,0.006,5.982
1.825,5.2,5.0,5.04,3.771,4.52,8.0,0.81,0.541,-0.09,0.66,1.49,16.557,-0.162,-1.163,68.2,-118.88,-28.33,6.62,-0.62,200.0,59.0,0.006,5.084
1.835,9.8,5.0,7.01,3.588,4.93,8.0,0.4,1.402,1.172,1.94,3.568,21.183,0.257,-1.067,53.04,-92.78,-57.59,-2.34,-0.34,200.0,59.0,0.006,8.713
1.835,9.0,5.0,6.88,3.606,4.85,8.0,0.49,1.292,1.002,1.682,3.157,20.386,1.346,-0.525,56.17,-23.91,-133.32,24.63,-0.92,200.0,59.0,0.006,8.101
1.835,4.4,5.0,4.75,3.791,4.32,8.0,0.87,0.467,-0.135,0.587,1.321,15.673,1.028,-0.138,-51.32,45.77,-78.47,-50.16,-0.77,200.0,59.0,0.006,4.305
1.835,5.2,5.0,4.82,3.786,4.54,9.0,0.74,0.436,-0.27,0.616,1.411,16.595,4.24,1.413,-21.24,235.45,-306.8,45.11,-1.97,200.0,59.0,0.006,5.08
1.845,11.0,5.0,7.16,3.566,5.03,8.0,0.26,1.494,1.187,2.315,3.776,22.267,0.424,-0.364,72.66,-48.09,-56.99,45.91,-0.49,200.0,59.0,0.006,9.642
1.845,9.4,5.0,6.95,3.596,4.89,8.0,0.44,1.324,0.928,1.815,3.224,20.643,-0.489,-0.254,-47.38,-9.58,41.99,-52.05,-1.43,200.0,59.0,0.006,8.405
1.845,8.2,5.0,6.7,3.631,4.77,8.0,0.56,1.149,0.757,1.362,2.772,19.519,0.219,-0.935,3.95,-61.2,-42.64,-38.71,-1.35,200.0,59.0,0.006,7.513
1.845,7.8,5.0,6.58,3.647,4.74,8.0,0.59,1.111,0.834,1.206,2.711,19.053,0.693,-0.192,-38.86,26.04,-55.04,-41.95,-0.85,200.0,59.0,0.006,7.224
1.845,6.0,5.0,5.58,3.737,4.63,8.0,0.73,0.653,0.006,0.791,1.795,17.318,1.245,0.49,-35.88,89.07,-83.41,-8.71,-0.98,200.0,59.0,0.006,5.812
1.845,5.2,5.0,5.04,3.771,4.52,8.0,0.81,0.533,-0.114,0.66,1.494,16.476,0.284,-0.329,28.16,-28.35,-36.71,9.3,-0.74,200.0,59.0,0.006,5.084
1.845,10.8,5.0,6.99,3.591,5.11,9.0,0.2,1.381,0.748,2.088,3.281,22.168,2.489,-0.432,155.61,-31.26,-243.04,113.95,-2.53,200.0,59.0,0.006,9.856
